L-BFGS_300	7.938371e-03	2.113900e-06	6.128293e-04	3.197376e-04
L-BFGS_0	1.281876e-03	2.988084e-06	7.360838e-06	9.094588e-04
L-BFGS_100	2.752887e-04	5.244775e-07	1.473667e-06	2.081042e-04
L-BFGS_200	1.042474e-04	3.720050e-07	4.982909e-07	6.206401e-05
L-BFGS_300	4.806206e-05	2.194464e-07	1.651232e-07	2.446619e-05
L-BFGS_400	3.194867e-05	1.375775e-07	1.083436e-07	1.710749e-05
L-BFGS_500	2.545028e-05	7.779096e-08	1.602092e-07	1.606910e-05
L-BFGS_600	1.867839e-05	3.764194e-08	3.924078e-08	1.452179e-05
L-BFGS_700	1.614433e-05	2.132276e-08	3.894714e-08	1.362258e-05
L-BFGS_800	1.290054e-05	1.068478e-08	7.252637e-08	1.110680e-05
L-BFGS_900	1.138594e-05	7.654553e-09	1.675070e-08	1.045298e-05
L-BFGS_0	1.306541e-03	3.110112e-06	8.506032e-06	9.104696e-04
L-BFGS_100	2.273985e-04	4.611155e-07	2.525047e-06	1.560365e-04
L-BFGS_200	9.522530e-05	3.548917e-07	2.801898e-07	5.693422e-05
L-BFGS_300	5.111218e-05	1.730100e-07	6.554244e-08	3.315576e-05
L-BFGS_400	3.076559e-05	1.239941e-07	8.832045e-08	1.748298e-05
L-BFGS_500	2.389249e-05	6.636353e-08	9.180442e-08	1.633809e-05
L-BFGS_600	1.769043e-05	3.494792e-08	1.811936e-08	1.401445e-05
L-BFGS_700	1.409930e-05	1.081753e-08	1.828368e-08	1.283471e-05
L-BFGS_0	1.400165e-03	3.161979e-06	1.027143e-05	9.812529e-04
L-BFGS_100	2.797070e-04	7.409486e-07	9.415281e-07	1.961969e-04
L-BFGS_200	8.824874e-05	3.529746e-07	2.187299e-07	5.076399e-05
L-BFGS_300	4.712118e-05	1.882311e-07	1.882577e-07	2.641550e-05
L-BFGS_0	1.483058e-03	3.065181e-06	1.436200e-05	1.032920e-03
L-BFGS_100	2.727253e-04	4.228461e-07	2.808664e-06	2.023540e-04
L-BFGS_200	8.893775e-05	2.884910e-07	9.267998e-07	5.082065e-05
L-BFGS_300	4.507700e-05	1.134335e-07	2.180351e-07	3.155330e-05
L-BFGS_0	5.083158e-03	3.890934e-05	2.689330e-05	1.846580e-04
L-BFGS_100	3.986869e-04	1.059107e-06	7.120389e-06	4.431447e-05
L-BFGS_200	2.487813e-04	5.609667e-07	6.701395e-06	2.513414e-05
L-BFGS_300	1.804957e-04	2.185882e-07	5.967700e-06	1.979198e-05
